date,gal,cost per gal,avg_temp,days
2020-10-02,55.3,1.99,61.45,12
2020-11-25,103.5,3.09,46.92,54
2020-12-26,100.0,1.99,32.06,31
2021-01-20,109.4,1.99,26.79,25
2021-02-17,100.0,1.99,18.09,28
